metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Avg nogood length,150,7,"n=150, k=7",,,0,48.5466,8.7472,11,45.6654,30.1622,19,58.0636,49.8201,20
Avg nogood length,150,10,"n=150, k=10",,,0,91.356,19.824,6,113.2124,95.7523,18,56.2546,38.3466,20
Avg nogood length,150,15,"n=150, k=15",,,0,144.6398,53.0959,4,101.0908,93.7526,20,115.81,76.9052,20
Avg nogood length,150,20,"n=150, k=20",,,0,190.4412,90.6371,2,115.4845,85.6672,19,129.2005,63.0581,18
Nogoods learned (total),20,3,"n=20, k=3",712.5,481.25,30,642.5,417.5,30,638.5,408.75,30,592.0,393.0,30
Nogoods learned (total),20,5,"n=20, k=5",2323.5,6040.25,30,502.0,263.25,30,410.0,48.0,30,399.0,56.75,30
Nogoods learned (total),20,7,"n=20, k=7",6072.5,80382.5,30,492.5,165.75,30,407.0,74.5,30,404.0,73.75,30
Nogoods learned (total),20,10,"n=20, k=10",7050.0,54636.0,27,533.0,238.75,30,412.5,121.0,30,401.5,68.5,30
Nogoods learned (total),50,3,"n=50, k=3",1544.0,2898.0,25,1466.0,1748.0,25,811.0,4279.0,25,904.0,9899.0,25
Nogoods learned (total),50,5,"n=50, k=5",129977.5,760855.25,18,3390.0,2843.25,20,333.5,4544.0,20,342.5,10918.0,22
Nogoods learned (total),50,7,"n=50, k=7",145606.0,888175.0,7,4955.0,9051.5,24,474.0,5572.75,24,338.0,1856.5,23
Nogoods learned (total),50,10,"n=50, k=10",233708.0,197888.0,5,6078.0,5887.75,22,864.0,3363.0,23,885.0,11747.5,23
Nogoods learned (total),50,15,"n=50, k=15",79463.0,199183.0,5,6185.0,5290.5,23,771.0,1456.5,23,371.0,7750.5,23
Nogoods learned (total),100,5,"n=100, k=5",988009.0,1276682.5,11,35390.5,49100.25,18,3113.5,20955.0,18,11227.0,16955.5,19
Nogoods learned (total),100,7,"n=100, k=7",,,0,104341.5,152073.5,18,627.5,5843.75,16,918.0,6323.0,17
Nogoods learned (total),100,10,"n=100, k=10",,,0,191032.0,626923.0,19,809.0,8189.5,18,1533.5,15591.5,18
Nogoods learned (total),100,15,"n=100, k=15",,,0,176155.0,677087.0,17,622.0,1885.0,17,3001.0,13587.0,19
Nogoods learned (total),100,20,"n=100, k=20",,,0,180439.5,338241.5,16,1008.0,9782.0,19,1430.0,10331.5,19
Nogoods learned (total),150,7,"n=150, k=7",,,0,940666.0,448472.5,11,11071.0,19792.0,19,13939.5,22883.5,20
Nogoods learned (total),150,10,"n=150, k=10",,,0,574477.0,602148.0,6,3791.5,32196.5,18,10283.0,13248.75,20
Nogoods learned (total),150,15,"n=150, k=15",,,0,506286.0,274013.75,4,3470.0,10841.0,20,11133.0,21522.5,20
Nogoods learned (total),150,20,"n=150, k=20",,,0,810764.5,485854.5,2,20696.0,48659.5,19,6949.0,20664.5,18
Unit nogoods learned,20,3,"n=20, k=3",512.5,264.25,30,512.5,275.25,30,512.5,264.25,30,512.5,264.25,30
Unit nogoods learned,20,5,"n=20, k=5",379.0,51.75,30,379.0,51.75,30,379.0,51.75,30,379.0,51.75,30
Unit nogoods learned,20,7,"n=20, k=7",373.0,30.0,30,377.5,51.75,30,377.5,51.75,30,377.5,51.75,30
Unit nogoods learned,20,10,"n=20, k=10",357.0,41.0,27,377.5,51.75,30,377.5,51.75,30,377.5,51.75,30
Unit nogoods learned,50,3,"n=50, k=3",478.0,297.0,25,470.0,297.0,25,478.0,297.0,25,532.0,290.0,25
Unit nogoods learned,50,5,"n=50, k=5",233.5,34.5,18,259.5,31.0,20,261.5,33.0,20,253.5,32.25,22
Unit nogoods learned,50,7,"n=50, k=7",210.0,15.0,7,253.5,39.75,24,253.5,35.75,24,253.0,36.5,23
Unit nogoods learned,50,10,"n=50, k=10",211.0,23.0,5,255.5,35.0,22,254.0,36.5,23,253.0,34.0,23
Unit nogoods learned,50,15,"n=50, k=15",212.0,23.0,5,254.0,36.5,23,253.0,34.0,23,253.0,38.0,23
Unit nogoods learned,100,5,"n=100, k=5",163.0,9.5,11,186.5,34.0,18,183.5,28.0,18,191.0,33.5,19
Unit nogoods learned,100,7,"n=100, k=7",,,0,188.5,21.5,18,188.5,20.5,16,187.0,22.0,17
Unit nogoods learned,100,10,"n=100, k=10",,,0,187.0,21.0,19,188.5,21.5,18,190.0,25.5,18
Unit nogoods learned,100,15,"n=100, k=15",,,0,187.0,22.0,17,187.0,21.0,17,190.0,24.0,19
Unit nogoods learned,100,20,"n=100, k=20",,,0,186.5,25.25,16,190.0,24.0,19,187.0,25.5,19
Unit nogoods learned,150,7,"n=150, k=7",,,0,164.0,30.0,11,150.0,34.0,19,147.0,36.25,20
Unit nogoods learned,150,10,"n=150, k=10",,,0,152.5,33.25,6,164.5,33.5,18,157.0,35.0,20
Unit nogoods learned,150,15,"n=150, k=15",,,0,143.5,19.25,4,157.0,35.25,20,157.0,35.0,20
Unit nogoods learned,150,20,"n=150, k=20",,,0,135.5,5.5,2,164.0,36.0,19,157.0,35.0,18
Avg conflict size,20,3,"n=20, k=3",3.1935,1.6205,30,3.577,1.909,30,2.9318,1.7371,30,2.6283,1.8493,30
