instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsTotal,circuitNumberCircuitConflicts,circuitNumberAlldiffConflicts,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberGacPrunings,circuitNumberPropagationsThatGacPruned,circuitNumberTotalPruningHallSetSize,circuitNumberNumberOfPruningExplanations,circuitNumberMaxPruningHallSetSize,circuitNumberTotalSccSizeAtPruning,circuitNumberNumberOfSccPruningCalls,circuitNumberTotalVarsInvolvedInPruning,circuitNumberMaxValuesPrunedFromSingleVar,circuitNumberHallCircuitChecks,circuitNumberHallCircuitPrunings,circuitNumberCircuitPreventPrunings,type,best_sol
pumpkin-v3/opt/n20_k10/instance_n20_k10_0011.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/234,OPTIMAL,13,0.9,0.11,72,11678,0.023549202,2445,234,0,72,9.01388888888889,23.444444444444443,8.041666666666666,1,5083,245,18,4437,263,15255,2582,25683,15255,121,7306,2582,13012,74,4865,756,1911,minimize,227
pumpkin-v3/opt/n20_k10/instance_n20_k10_0015.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/240,OPTIMAL,17,3.92,0.12,10,11717,0.017160191,3232,259,0,10,9.5,21,10.6,1,5952,28,0,437,28,18374,2982,26647,18374,186,7410,2982,17292,83,5411,904,2031,minimize,250
pumpkin-v3/opt/n20_k10/instance_n20_k10_0025.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/218,OPTIMAL,14,8.65,8.34,29402,1621369,8.275321098,32996,211,0,29402,7.229066049928576,50.68189238827291,8.146962791646827,1,245969,22156,4845,391996,27001,621185,139561,2303475,621185,124,946291,139561,486115,71,351663,9261,150960,minimize,210
pumpkin-v3/opt/n20_k10/instance_n20_k10_0026.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/244,OPTIMAL,15,0.25,0.1,65,13223,0.025404083,2427,230,0,65,3.8615384615384616,55.93846153846154,4.123076923076923,1,4869,62,0,758,62,12863,2407,26224,12863,193,8069,2407,11552,95,4606,660,1853,minimize,230
pumpkin-v3/opt/n20_k5/instance_n20_k5_0011.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/339,OPTIMAL,3,0.28,0.07,3,1351,0.002539985,351,126,0,3,4.333333333333333,12.333333333333334,6,1,247,2,3,62,5,613,117,2266,613,67,884,117,483,24,215,18,109,minimize,126
pumpkin-v3/opt/n20_k5/instance_n20_k5_0017.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/316,OPTIMAL,4,0.19,0.07,3,1766,0.003297171,475,129,0,3,6,6,7,1,486,0,0,0,0,876,246,1618,876,67,1175,246,775,15,530,32,227,minimize,131
pumpkin-v3/opt/n20_k10/instance_n20_k10_0006.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/241,OPTIMAL,8,4.12,1.43,6105,243246,1.340561345,7982,274,0,6105,4.735626535626536,50.776904176904175,13.58951678951679,1,20752,469,347,5938,816,98431,13045,286129,98431,73,159091,13045,81665,39,19814,648,13661,minimize,258
pumpkin-v3/opt/n20_k5/instance_n20_k5_0002.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/325,OPTIMAL,6,0.42,0.16,387,12361,0.08286387,1019,120,0,387,5.410852713178294,17.2015503875969,4.237726098191215,1,5968,774,0,6635,774,19657,3521,109272,19657,93,28204,3521,13650,28,8865,375,2996,minimize,144
pumpkin-v3/opt/n20_k5/instance_n20_k5_0015.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/328,OPTIMAL,7,0.18,0.08,19,3145,0.00714816,828,133,0,19,8.368421052631579,13.526315789473685,10.31578947368421,1,1387,58,0,908,58,2853,685,7545,2853,120,3351,685,2457,40,1468,126,565,minimize,133
pumpkin-v3/opt/n20_k5/instance_n20_k5_0013.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/321,OPTIMAL,6,0.25,0.1,45,3717,0.012346309,694,132,0,45,6.933333333333334,12.422222222222222,6.6,1,2097,127,6,2086,133,4025,1131,9470,4025,97,4420,1131,3396,27,2946,219,1014,minimize,145
pumpkin-v3/opt/n20_k5/instance_n20_k5_0019.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/335,OPTIMAL,3,0.2,0.1,139,6227,0.026617292,471,119,0,139,6.179856115107913,19.74820143884892,4.467625899280575,1,1640,191,6,2443,197,4505,864,16815,4505,56,7249,864,3576,16,2344,321,540,minimize,137
pumpkin-v3/opt/n20_k5/instance_n20_k5_0018.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/320,OPTIMAL,7,7.99,7.74,43891,1213242,7.676543077,44908,127,0,43891,7.02845685903716,15.725160055592262,15.022988767628899,1,199246,32239,1104,542683,33343,282775,102699,613133,282775,98,373763,102699,238479,26,319164,4030,93344,minimize,127
pumpkin-v3/opt/n20_k5/instance_n20_k5_0014.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/317,OPTIMAL,10,0.28,0.09000000000000001,52,5096,0.052815608,1169,124,0,52,6.5,10.76923076923077,8.692307692307692,1,4186,187,0,2698,187,7237,2201,17414,7237,145,9257,2201,6110,43,6455,188,1564,minimize,144
pumpkin-v3/opt/n20_k5/instance_n20_k5_0000.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/336,OPTIMAL,7,0.23,0.07,7,2975,0.004961529,786,131,0,7,5,10.714285714285714,3.142857142857143,1,1038,23,0,249,23,2055,530,4890,2055,120,2205,530,1828,36,988,139,380,minimize,130
pumpkin-v3/opt/n20_k5/instance_n20_k5_0012.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/312,OPTIMAL,4,0.54,0.30000000000000004,1325,50132,0.226876556,1972,123,0,1325,6.649056603773585,14.988679245283018,11.05056603773585,1,10607,1461,17,21332,1478,21256,5922,49733,21256,52,26070,5922,17573,18,15823,1450,5273,minimize,140
pumpkin-v3/opt/n20_k5/instance_n20_k5_0026.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/331,OPTIMAL,7,0.21,0.1,88,5295,0.021537317,865,131,0,88,6.863636363636363,16.443181818181817,8.318181818181818,1,3486,180,0,2288,180,7923,1909,23906,7923,118,11423,1909,5891,52,3793,123,1744,minimize,177
pumpkin-v3/opt/n20_k5/instance_n20_k5_0003.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/322,OPTIMAL,6,0.2,0.1,78,4478,0.016818432,689,121,0,78,5.666666666666667,14.692307692307692,7.858974358974359,1,2057,124,0,1492,124,3984,1143,11130,3984,87,7067,1143,3485,30,2390,233,882,minimize,137
pumpkin-v3/opt/n20_k5/instance_n20_k5_0009.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/315,OPTIMAL,6,0.3,0.1,137,6205,0.027689666,832,130,0,137,5.759124087591241,12.912408759124087,8.700729927007298,1,3206,451,0,6644,451,6324,1601,20454,6324,107,9106,1601,5337,30,3675,470,1469,minimize,155
pumpkin-v3/opt/n20_k5/instance_n20_k5_0020.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/329,OPTIMAL,1,0.41,0.30000000000000004,1518,42176,0.228962896,1958,127,0,1518,5.104743083003952,7.777997364953887,6.520421607378129,1,7940,1337,87,13252,1424,16639,4573,31232,16639,28,16426,4573,15802,12,9285,1420,4505,minimize,151
pumpkin-v3/opt/n20_k5/instance_n20_k5_0028.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/314,OPTIMAL,4,0.33,0.09,111,4925,0.019811497,559,117,0,111,5.423423423423423,15.198198198198199,5.666666666666667,1,1305,183,1,2875,184,2595,664,7938,2595,72,3206,664,2104,23,1539,227,570,minimize,119
pumpkin-v3/opt/n20_k5/instance_n20_k5_0008.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/326,OPTIMAL,10,0.3,0.08,9,4057,0.007751642,1105,135,0,9,7.111111111111111,16.666666666666668,6.777777777777778,1,1904,37,0,466,37,3778,899,8569,3778,136,3468,899,3276,48,1813,141,822,minimize,134
pumpkin-v3/opt/n20_k5/instance_n20_k5_0024.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/340,OPTIMAL,9,0.2,0.09000000000000001,96,6036,0.020376378,1065,127,0,96,4.541666666666667,19.385416666666668,4.791666666666667,1,2354,135,23,2291,158,5602,1185,15480,5602,143,7307,1185,4680,42,2484,181,946,minimize,122
pumpkin-v3/opt/n20_k5/instance_n20_k5_0029.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/337,OPTIMAL,5,0.34,0.1,72,3786,0.015735206,710,138,0,72,9.930555555555555,13.652777777777779,14.097222222222221,1,1968,144,0,2535,144,4452,1078,11298,4452,84,5364,1078,3221,31,2210,197,946,minimize,154
pumpkin-v3/opt/n20_k5/instance_n20_k5_0022.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/334,OPTIMAL,6,0.37,0.09,34,3594,0.011165594,663,116,0,34,5.382352941176471,18.38235294117647,5.176470588235294,1,1181,36,0,521,36,2133,620,4846,2133,84,2781,620,1862,24,1370,59,446,minimize,116
pumpkin-v3/opt/n20_k5/instance_n20_k5_0004.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/323,OPTIMAL,7,0.22,0.08,18,3189,0.008072091,744,118,0,18,7.333333333333333,16.666666666666668,6.944444444444445,1,1552,63,0,844,63,3045,794,7829,3045,120,4112,794,2664,27,1542,106,694,minimize,130
pumpkin-v3/opt/n20_k5/instance_n20_k5_0010.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/318,OPTIMAL,5,0.38,0.24,818,28972,0.161058956,1376,122,0,818,6.786063569682152,23.993887530562347,12.943765281173594,1,4883,365,7,5626,372,8805,2775,23471,8805,87,15115,2775,7033,29,6666,651,2621,minimize,118
pumpkin-v3/opt/n20_k5/instance_n20_k5_0006.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/313,OPTIMAL,3,0.38,0.09,117,4157,0.018115136,493,129,0,117,4.444444444444445,14.914529914529915,5.435897435897436,1,684,41,4,440,45,1778,372,5433,1778,49,2842,372,1419,16,675,92,303,minimize,130
pumpkin-v3/opt/n20_k5/instance_n20_k5_0023.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/324,OPTIMAL,6,0.3,0.08,67,4112,0.013490898,776,123,0,67,6.880597014925373,11.73134328358209,7.641791044776119,1,2296,249,0,3128,249,4941,1188,12464,4941,93,5236,1188,4253,28,3442,482,771,minimize,127
pumpkin-v3/opt/n20_k5/instance_n20_k5_0001.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/338,OPTIMAL,8,0.32,0.14,265,12992,0.05632044,1014,122,0,265,4.2075471698113205,22.977358490566036,7.622641509433962,1,2691,168,20,2718,188,5378,1453,17492,5378,160,9605,1453,4336,44,2960,422,1313,minimize,123
pumpkin-v3/opt/n20_k5/instance_n20_k5_0016.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/333,OPTIMAL,8,0.25,0.09000000000000001,59,4323,0.013632455,854,125,0,59,6.779661016949152,13.322033898305085,7.627118644067797,1,2959,251,0,4090,251,5882,1579,14032,5882,128,7019,1579,4584,35,3429,59,1402,minimize,125
pumpkin-v3/opt/n20_k5/instance_n20_k5_0021.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/311,OPTIMAL,5,0.37,0.08,19,2562,0.006515039,502,105,0,19,6.157894736842105,17.36842105263158,4.842105263157895,1,863,38,0,486,38,1572,442,5011,1572,80,2470,442,1339,34,943,27,398,minimize,106
