instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,type,best_sol
pumpkin-v0/opt/n50_k7/instance_n50_k7_0007.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/260,SATISFIABLE,3,1801.49,1773.69,3846587,1125305365,1781.849339015,4570779,402,1,3846587,16.345912623320363,40.80879933301912,16.3329494432337,0,20776,734050,20776,437023,4072323,minimize,2184
pumpkin-v0/opt/n50_k7/instance_n50_k7_0012.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/258,ERROR,8,1510.77,1478.05,471,210496,0.046698279,4062,432,0,471,11.142250530785562,22.278131634819534,4.498938428874735,0,376,13971,376,1491,7922,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0005.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/244,ERROR,10,1391.33,1360.07,2014283,518425574,478.76675833,2390982,434,0,2014283,17.835173607680748,43.936085942243466,20.930810119531365,0,2465501,111016534,2465501,2573572,14515272,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0022.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/262,ERROR,22,1586.82,1558.29,31050,11557784,8.297603474,48241,418,2,31050,16.461803542673106,46.896779388083736,16.450563607085346,0,29600,1102907,29600,150720,636903,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0017.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/256,ERROR,14,1218.35,1188.81,283853,77264077,59.399073136,304344,426,1,283853,16.30827223950425,39.10349370977231,15.333471902710206,0,80527,2912164,80527,764710,3744342,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0000.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/252,ERROR,13,1392.65,1358.46,69755,22116635,19.14173513,81074,434,0,69755,19.970253028456742,49.139015124363844,19.015941509569206,0,16896,659870,16896,27129,114928,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0019.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/248,SATISFIABLE,14,1800.0,1800.0,46599,19455667,16.584332274,59681,426,0,46599,22.177192643618962,44.827914762119356,7.48644820704307,0,5960,231323,5960,92720,275581,minimize,434
pumpkin-v0/opt/n50_k7/instance_n50_k7_0016.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/247,SATISFIABLE,2,1800.0,1800.0,21979,8935794,5.190946674,39346,428,0,21979,20.00900859911734,24.69166022112016,22.00859911733928,0,18040,703406,18040,13200,64319,minimize,745
pumpkin-v0/opt/n50_k7/instance_n50_k7_0013.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/257,ERROR,5,1570.06,1513.26,29154,9890940,5.034554556,35364,430,1,29154,16.87672360568018,31.33515126569253,10.844515332372916,0,2259,93866,2259,24454,141777,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0018.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/246,SATISFIABLE,3,1800.0,1800.0,29,21371,0.008614626,1288,427,0,29,11.172413793103448,21.20689655172414,3.5517241379310347,0,7,285,7,34,323,minimize,447
pumpkin-v0/opt/n50_k7/instance_n50_k7_0004.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/243,SATISFIABLE,16,1800.0,1800.0,3819460,1389203100,1194.584250662,3952619,419,0,3819460,20.926826043472115,42.99237510014505,7.394641912731119,0,796527,32407071,796527,4104528,19239893,minimize,820
pumpkin-v0/opt/n50_k7/instance_n50_k7_0001.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/245,ERROR,0,1656.22,1565.06,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0008.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/253,SATISFIABLE,10,1802.76,1766.27,1244322,351278332,460.441783856,1413880,442,1,1244322,17.779644657894018,37.60054953621329,19.629956715383962,0,1124872,49770869,1124872,739163,7344099,minimize,2982
pumpkin-v0/opt/n50_k7/instance_n50_k7_0014.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/249,SATISFIABLE,2,1800.0,1800.0,242338,89796034,103.195921749,841033,442,0,242338,9.656331239838572,30.06349396297733,17.659752081803102,0,1574,47604,1574,85238,1586701,minimize,840603
pumpkin-v0/opt/n50_k7/instance_n50_k7_0010.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/255,ERROR,0,1178.97,1150.32,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0002.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/242,ERROR,4,1465.03,1401.56,1342,546026,0.265870926,4438,400,0,1342,14.706408345752608,22.476154992548434,14.852459016393443,0,899,38085,899,1478,8266,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0009.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/261,SATISFIABLE,12,1802.73,1773.08,4849897,1664246372,1781.235615268,8253177,435,1,4849897,15.909352714088568,46.32625022758215,22.721651820646912,0,625705,24184931,625705,1454533,12100427,minimize,619
pumpkin-v0/opt/n50_k7/instance_n50_k7_0024.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/254,ERROR,7,1255.29,1225.43,1586337,546805659,295.153645619,2339262,415,0,1586337,21.201634961549786,31.969537998546336,33.94058009111557,0,5684194,247696789,5684194,4418161,19420849,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0020.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/264,SATISFIABLE,7,1802.3,1772.72,3758454,1192472338,1781.536515699,3891646,451,0,3758454,19.529157733472328,51.94386229018634,18.37941664311975,0,425501,18676387,425501,761453,4473685,minimize,65552
pumpkin-v0/opt/n50_k7/instance_n50_k7_0021.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/263,SATISFIABLE,17,1802.52,1772.4,3784622,1221491098,1781.650274967,6258497,439,0,3784622,14.659391083178187,39.424375802920345,21.828680380761938,0,12113497,537505613,12113497,5361108,40883726,minimize,511
pumpkin-v0/opt/n50_k7/instance_n50_k7_0023.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/250,ERROR,13,1447.79,1413.75,2156084,690434220,751.03526097,2500329,445,1,2156084,14.009550648304982,66.54495696828138,23.72361976620577,0,156535,5133813,156535,1023273,5150365,minimize,
pumpkin-v0/opt/n50_k7/instance_n50_k7_0015.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/259,OPTIMAL,6,23.13,3.88,13078,4736958,3.845071448,16330,431,0,13078,17.896543814038843,39.875210276800736,12.228245909160423,1,3246,141353,3246,12862,54847,minimize,636
pumpkin-v0/opt/n50_k7/instance_n50_k7_0011.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/265,SATISFIABLE,9,1800.0,1800.0,3516925,1055754733,1781.804119283,4607214,464,2,3516925,16.933831401010828,46.72348543116501,19.26163736787108,0,177333,7587874,177333,1126031,7928286,minimize,14738
pumpkin-v0/opt/n100_k5/instance_n100_k5_0005.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/221,SATISFIABLE,5,1800.0,1800.0,2078448,1648566233,1437.685358475,2686378,567,0,2078448,31.64783434562712,55.455355149611634,67.87387704671947,0,3494579,328648120,3494579,2372375,10144124,minimize,3473
pumpkin-v0/opt/n100_k5/instance_n100_k5_0006.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/222,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
